/Users/willy/Documents/TibaMe/web/venv/bin/python /Users/willy/Documents/TibaMe/Python/code/temp.py
Linux 2019_12_22_1.mp4 https://cdn.tibame.com/course/615/videos/dfd34227-5c28-4cec-b4f8-0eea9304c942_GMT20191222-010800_104CLASS-T_1920x1080.mp4
Linux 2019_12_22_2.mp4 https://cdn.tibame.com/course/615/videos/4a4c4baa-3dc7-4657-8e3d-d2ab898939cd_GMT20191222-053314_104CLASS-T_1920x1080.mp4
Linux 2019_12_25_1.mp4 https://cdn.tibame.com/course/615/videos/b1cdd055-bba4-49cc-8561-26509e3da6a5_GMT20191225-010050_104CLASS-T_1920x1080.mp4
Linux 2019_12_25_2.mp4 https://cdn.tibame.com/course/615/videos/6ac5f837-3f93-4b10-ab18-bd58e17c5f1a_GMT20191225-053330_104CLASS-T_1920x1080.mp4
Linux 2019_12_26_1.mp4 https://cdn.tibame.com/course/615/videos/31cd42e2-1a53-415b-ab94-feab72028b2a_GMT20191226-010332_104CLASS-T_1920x1080.mp4
Linux 2019_12_26_2.mp4 https://cdn.tibame.com/course/615/videos/15108c54-2642-4d95-a2bc-ac4d1daa5e01_GMT20191226-053530_104CLASS-T_1920x1080.mp4
Linux 2020_01_02_1.mp4 https://cdn.tibame.com/course/615/videos/495a8c0c-f439-4c79-8b57-ac4122f16949_GMT20200102-010203_104CLASS-T_1920x1080.mp4
Linux 2020_01_02_2.mp4 https://cdn.tibame.com/course/615/videos/d2cbb9b9-75f9-4708-95cd-409ef5b93bf0_GMT20200102-053512_104CLASS-T_1920x1080.mp4
NoSQL 2020_02_02_1.mp4 https://cdn.tibame.com/course/679/videos/81110ab8-e300-4c67-8bc3-6f5d2d9a54ad_GMT20200202-011025_104CLASS-T_1920x1080.mp4
NoSQL 2020_02_02_2.mp4 https://cdn.tibame.com/course/679/videos/e2d2ee55-06f3-4ca9-bd70-1c7d02ec5c16_GMT20200202-053528_104CLASS-T_1920x1080.mp4
NoSQL 2020_02_17_1.mp4 https://cdn.tibame.com/course/679/videos/be54b38f-2f60-47ad-8a44-db054473a93e_GMT20200217-100137_104CLASS-T_1920x1080.mp4
NoSQL 2020_02_18_1.mp4 https://cdn.tibame.com/course/679/videos/c0eeba98-ed29-40c6-8575-73377fe3333c_GMT20200218-100044_104CLASS-T_1920x1080.mp4
NoSQL 2020_02_22_1.mp4 https://cdn.tibame.com/course/679/videos/662de7ce-d678-4fc5-87b6-4e00607b5cc5_GMT20200222-101357_104CLASS-T_1920x1080.mp4
NoSQL 2020_02_23_1.mp4 https://cdn.tibame.com/course/679/videos/4c3a2220-2f20-4b91-916b-d0d1d46d505e_GMT20200223-100248_104CLASS-T_1920x1080.mp4
NoSQL 2020_02_24_1.mp4 https://cdn.tibame.com/course/679/videos/1bdf358a-2689-4189-b900-c333362ac7ab_GMT20200224-100355_104CLASS-T_1920x1080.mp4
NoSQL 2020_02_25_1.mp4 https://cdn.tibame.com/course/679/videos/3689117a-4994-4ba4-904d-31de6536d9b1_GMT20200225-102950_104CLASS-T_1920x1080.mp4
NoSQL 2020_03_02_1.mp4 https://cdn.tibame.com/course/679/videos/a5bb32d7-ded2-4aef-9da7-f105cb3ff053_GMT20200302-100101_104CLASS-T_1920x1080.mp4
NoSQL 2020_03_09_1.mp4 https://cdn.tibame.com/course/679/videos/b52fed6b-2201-4556-b564-a229f06c383b_GMT20200309-095950_104CLASS-T_1920x1080.mp4
NoSQL 2020_03_20_1.mp4 https://cdn.tibame.com/course/679/videos/e4656484-64ce-4223-827f-edba90a010e2_GMT20200320-080341_104CLASS-T_1920x1080.mp4
PyAI 2020_02_26_1.mp4 https://cdn.tibame.com/course/747/videos/40b523b6-c464-4bb6-8fd3-b4c1cae6e8ff_GMT20200226-053822_104CLASS-T_1920x1080.mp4
PyAI 2020_02_26_2.mp4 沒有
PyAI 2020_02_27_1.mp4 https://cdn.tibame.com/course/747/videos/78da086d-321a-4969-8885-a2172049cfe6_GMT20200227-003441_104CLASS-T_1920x1080.mp4
PyAI 2020_02_27_2.mp4 https://cdn.tibame.com/course/747/videos/1d46c73a-55dd-4c69-8c76-f962cc5bd335_GMT20200227-053425_104CLASS-T_1920x1080.mp4
PyAI 2020_02_29_1.mp4 沒有
PyAI 2020_02_29_2.mp4 沒有
PyAI 2020_03_01_1.mp4 PyAI(下)
PyAI 2020_03_01_1.mp4 https://cdn.tibame.com/course/747/videos/6c7e8447-b0e9-41be-8036-5f6437eaff85_GMT20200301-010354_104CLASS-T_1920x1080.mp4
PyAI 2020_03_01_2.mp4 https://cdn.tibame.com/course/747/videos/34df56e8-c5d0-42f5-900c-388cba0c9862_GMT20200301-050442_104CLASS-T_1920x1080.mp4
PyAI 2020_03_07_1.mp4 https://cdn.tibame.com/course/747/videos/553314c5-36e0-4715-9b77-f9628853cc12_GMT20200307-010405_104CLASS-T_1920x1080.mp4
PyAI 2020_03_07_2.mp4 https://cdn.tibame.com/course/747/videos/cfd4f67b-83bb-47d1-9315-587a07547f41_GMT20200307-050834_104CLASS-T_1920x1080.mp4
